Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,009225,2015,01,01,17.4,1,Y
IDCJAC0011,009225,2015,01,02,15.5,1,Y
IDCJAC0011,009225,2015,01,03,15.8,1,Y
IDCJAC0011,009225,2015,01,04,16.2,1,Y
IDCJAC0011,009225,2015,01,05,23.2,1,Y
IDCJAC0011,009225,2015,01,06,21.0,1,Y
IDCJAC0011,009225,2015,01,07,19.9,1,Y
IDCJAC0011,009225,2015,01,08,15.6,1,Y
IDCJAC0011,009225,2015,01,09,15.2,1,Y
IDCJAC0011,009225,2015,01,10,16.2,1,Y
IDCJAC0011,009225,2015,01,11,16.6,1,Y
IDCJAC0011,009225,2015,01,12,15.2,1,Y
IDCJAC0011,009225,2015,01,13,15.3,1,Y
IDCJAC0011,009225,2015,01,14,17.0,1,Y
IDCJAC0011,009225,2015,01,15,18.6,1,Y
IDCJAC0011,009225,2015,01,16,18.3,1,Y
IDCJAC0011,009225,2015,01,17,17.6,1,Y
IDCJAC0011,009225,2015,01,18,18.7,1,Y
IDCJAC0011,009225,2015,01,19,19.1,1,Y
IDCJAC0011,009225,2015,01,20,16.1,1,Y
IDCJAC0011,009225,2015,01,21,19.8,1,Y
IDCJAC0011,009225,2015,01,22,22.6,1,Y
IDCJAC0011,009225,2015,01,23,15.9,1,Y
IDCJAC0011,009225,2015,01,24,16.4,1,Y
IDCJAC0011,009225,2015,01,25,17.2,1,Y
IDCJAC0011,009225,2015,01,26,16.7,1,Y
IDCJAC0011,009225,2015,01,27,21.2,1,Y
IDCJAC0011,009225,2015,01,28,22.4,1,Y
IDCJAC0011,009225,2015,01,29,23.0,1,Y
IDCJAC0011,009225,2015,01,30,20.4,1,Y
IDCJAC0011,009225,2015,01,31,19.5,1,Y
IDCJAC0011,009225,2015,02,01,20.9,1,Y
IDCJAC0011,009225,2015,02,02,19.7,1,Y
IDCJAC0011,009225,2015,02,03,20.1,1,Y
IDCJAC0011,009225,2015,02,04,19.8,1,Y
IDCJAC0011,009225,2015,02,05,18.9,1,Y
IDCJAC0011,009225,2015,02,06,18.5,1,Y
IDCJAC0011,009225,2015,02,07,19.2,1,Y
IDCJAC0011,009225,2015,02,08,20.6,1,Y
IDCJAC0011,009225,2015,02,09,19.9,1,Y
IDCJAC0011,009225,2015,02,10,18.5,1,Y
IDCJAC0011,009225,2015,02,11,20.0,1,Y
IDCJAC0011,009225,2015,02,12,21.9,1,Y
IDCJAC0011,009225,2015,02,13,21.5,1,Y
IDCJAC0011,009225,2015,02,14,19.1,1,Y
IDCJAC0011,009225,2015,02,15,14.9,1,Y
IDCJAC0011,009225,2015,02,16,17.1,1,Y
IDCJAC0011,009225,2015,02,17,18.6,1,Y
IDCJAC0011,009225,2015,02,18,18.2,1,Y
IDCJAC0011,009225,2015,02,19,19.7,1,Y
IDCJAC0011,009225,2015,02,20,19.8,1,Y
IDCJAC0011,009225,2015,02,21,16.7,1,Y
