Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2015,01,01,28.5,1,Y
IDCJAC0010,009225,2015,01,02,26.3,1,Y
IDCJAC0010,009225,2015,01,03,29.5,1,Y
IDCJAC0010,009225,2015,01,04,34.7,1,Y
IDCJAC0010,009225,2015,01,05,44.4,1,Y
IDCJAC0010,009225,2015,01,06,34.6,1,Y
IDCJAC0010,009225,2015,01,07,34.2,1,Y
IDCJAC0010,009225,2015,01,08,32.3,1,Y
IDCJAC0010,009225,2015,01,09,30.0,1,Y
IDCJAC0010,009225,2015,01,10,30.6,1,Y
IDCJAC0010,009225,2015,01,11,32.0,1,Y
IDCJAC0010,009225,2015,01,12,35.8,1,Y
IDCJAC0010,009225,2015,01,13,35.5,1,Y
IDCJAC0010,009225,2015,01,14,29.7,1,Y
IDCJAC0010,009225,2015,01,15,30.0,1,Y
IDCJAC0010,009225,2015,01,16,30.3,1,Y
IDCJAC0010,009225,2015,01,17,38.0,1,Y
IDCJAC0010,009225,2015,01,18,29.5,1,Y
IDCJAC0010,009225,2015,01,19,27.6,1,Y
IDCJAC0010,009225,2015,01,20,38.9,1,Y
IDCJAC0010,009225,2015,01,21,35.8,1,Y
IDCJAC0010,009225,2015,01,22,29.0,1,Y
IDCJAC0010,009225,2015,01,23,30.4,1,Y
IDCJAC0010,009225,2015,01,24,29.6,1,Y
IDCJAC0010,009225,2015,01,25,33.3,1,Y
IDCJAC0010,009225,2015,01,26,37.1,1,Y
IDCJAC0010,009225,2015,01,27,40.0,1,Y
IDCJAC0010,009225,2015,01,28,36.8,1,Y
IDCJAC0010,009225,2015,01,29,33.9,1,Y
IDCJAC0010,009225,2015,01,30,34.7,1,Y
IDCJAC0010,009225,2015,01,31,31.0,1,Y
IDCJAC0010,009225,2015,02,01,33.8,1,Y
IDCJAC0010,009225,2015,02,02,31.9,1,Y
IDCJAC0010,009225,2015,02,03,39.1,1,Y
IDCJAC0010,009225,2015,02,04,32.6,1,Y
IDCJAC0010,009225,2015,02,05,30.9,1,Y
IDCJAC0010,009225,2015,02,06,29.7,1,Y
IDCJAC0010,009225,2015,02,07,32.8,1,Y
IDCJAC0010,009225,2015,02,08,39.5,1,Y
IDCJAC0010,009225,2015,02,09,33.7,1,Y
IDCJAC0010,009225,2015,02,10,34.9,1,Y
IDCJAC0010,009225,2015,02,11,36.4,1,Y
IDCJAC0010,009225,2015,02,12,30.3,1,Y
IDCJAC0010,009225,2015,02,13,26.9,1,Y
IDCJAC0010,009225,2015,02,14,24.4,1,Y
IDCJAC0010,009225,2015,02,15,29.4,1,Y
IDCJAC0010,009225,2015,02,16,34.0,1,Y
IDCJAC0010,009225,2015,02,17,32.5,1,Y
IDCJAC0010,009225,2015,02,18,34.9,1,Y
IDCJAC0010,009225,2015,02,19,32.4,1,Y
